Zoraptera	Spiralizoridae	Spiralizoros	Spiralizoros caudelli
Phthiraptera	Heptapsogasteridae	Megapeostus	Megapeostus sp. MpspCrcin1
Phthiraptera	Heptapsogasteridae	Megapeostus	Megapeostus petersi
Phthiraptera	Heptapsogasteridae	Megapeostus	Megapeostus heptarthrogastriformis
Phthiraptera	Heptapsogasteridae	Megapeostus	Megapeostus sp. MpspCrstr
Phthiraptera	Heptapsogasteridae	Megapeostus	Megapeostus asymmetricus
Phthiraptera	Heptapsogasteridae	Discocorpus	Discocorpus sp. DispCrtra
Phthiraptera	Heptapsogasteridae	Discocorpus	Discocorpus sp. DispCrstr
Phthiraptera	Heptapsogasteridae	Discocorpus	Discocorpus sp. DispCrobs
Phthiraptera	Heptapsogasteridae	Discocorpus	Discocorpus mexicanus
Phthiraptera	Echinophthiriidae	Lepidophthirus	Lepidophthirus macrorhini
Phthiraptera	Echinophthiriidae	Antarctophthirus	Antarctophthirus ogmorhini
Phthiraptera	Echinophthiriidae	Antarctophthirus	Antarctophthirus lobodontis
Phthiraptera	Echinophthiriidae	Antarctophthirus	Antarctophthirus carlinii
Phthiraptera	Echinophthiriidae	Antarctophthirus	Antarctophthirus microchir
Phthiraptera	Echinophthiriidae	Echinophthirius	Echinophthirius horridus
Phthiraptera	Philopteridae	Olivinirmus	Olivinirmus semiannulatus
Phthiraptera	Philopteridae	Olivinirmus	Olivinirmus morionus
Phthiraptera	Philopteridae	Maculinirmus	Maculinirmus sp. MaspSpvir
Phthiraptera	Philopteridae	Indoceoplanetes	Indoceoplanetes sp. MaspConov
Phthiraptera	Philopteridae	Indoceoplanetes	Indoceoplanetes sp. MaspComcg
Phthiraptera	Philopteridae	Indoceoplanetes	Indoceoplanetes sp. MaspComac
Phthiraptera	Philopteridae	Guimaraesiella	Guimaraesiella sp. GuspChpap
Phthiraptera	Philopteridae	Guimaraesiella	Guimaraesiella sp. GuspChnuc
Phthiraptera	Philopteridae	Guimaraesiella	Guimaraesiella sp. GuspBlsyn
Phthiraptera	Philopteridae	Guimaraesiella	Guimaraesiella sp. GuspZolun
Phthiraptera	Philopteridae	Guimaraesiella	Guimaraesiella sp. GuspZohei
Phthiraptera	Philopteridae	Guimaraesiella	Guimaraesiella sp. GuspVacur
Phthiraptera	Philopteridae	Guimaraesiella	Guimaraesiella sp. GuspSeper
Phthiraptera	Philopteridae	Guimaraesiella	Guimaraesiella sp. GuspSenoh
Phthiraptera	Philopteridae	Guimaraesiella	Guimaraesiella sp. GuspPyplu
Phthiraptera	Philopteridae	Guimaraesiella	Guimaraesiella sp. GuspPhict
Phthiraptera	Philopteridae	Guimaraesiella	Guimaraesiella sp. GuspPhalb
Phthiraptera	Philopteridae	Guimaraesiella	Guimaraesiella sp. GuspPesig
Phthiraptera	Philopteridae	Guimaraesiella	Guimaraesiella sp. GuspNichl
Phthiraptera	Philopteridae	Guimaraesiella	Guimaraesiella sp. GuspNepoe
Phthiraptera	Philopteridae	Guimaraesiella	Guimaraesiella sp. GuspMycol
Phthiraptera	Philopteridae	Guimaraesiella	Guimaraesiella sp. GuspManit
Phthiraptera	Philopteridae	Guimaraesiella	Guimaraesiella sp. GuspFafro
Phthiraptera	Philopteridae	Guimaraesiella	Guimaraesiella sp. GuspCycri
Phthiraptera	Philopteridae	Guimaraesiella	Guimaraesiella sp. GuspCrbar
Phthiraptera	Philopteridae	Guimaraesiella	Guimaraesiella sp. GuspCohar
Phthiraptera	Philopteridae	Guimaraesiella	Guimaraesiella sp. GuspCoalb
Phthiraptera	Philopteridae	Guimaraesiella	Guimaraesiella sp. GuspBlexi
Phthiraptera	Philopteridae	Guimaraesiella	Guimaraesiella sp. GuspBlcan
Phthiraptera	Philopteridae	Guimaraesiella	Guimaraesiella sp. GuspAraur
Phthiraptera	Philopteridae	Heptarthrogaster	Heptarthrogaster sp. HespTigut2
Phthiraptera	Philopteridae	Heptarthrogaster	Heptarthrogaster sp. HespTimaj2
Phthiraptera	Philopteridae	Heptarthrogaster	Heptarthrogaster sp. HespTimaj
Phthiraptera	Philopteridae	Tyranniphilopterus	Tyranniphilopterus sp. TyspPamin
Phthiraptera	Philopteridae	Philopteroides	Philopteroides sp. PpspChjef
