Zoraptera	Spiralizoridae	Spiralizoros	Spiralizoros caudelli
Phthiraptera	Menoponidae	Dennyus	Dennyus brunneitorques
Phthiraptera	Menoponidae	Dennyus	Dennyus malagonensis
Phthiraptera	Menoponidae	Dennyus	Dennyus sp. DespCoesc639
Phthiraptera	Menoponidae	Dennyus	Dennyus sp. DespCoesc241
Phthiraptera	Menoponidae	Dennyus	Dennyus sp. DespChegr
Phthiraptera	Menoponidae	Dennyus	Dennyus sp. DespChspi
Phthiraptera	Menoponidae	Dennyus	Dennyus sp. DespAepap
Phthiraptera	Menoponidae	Dennyus	Dennyus pascoliae
Phthiraptera	Menoponidae	Dennyus	Dennyus dubius
Phthiraptera	Menoponidae	Dennyus	Dennyus simberloffi
Phthiraptera	Menoponidae	Dennyus	Dennyus hirundinis
Phthiraptera	Menoponidae	Dennyus	Dennyus cypsiurus
Phthiraptera	Menoponidae	Dennyus	Dennyus carljonesi
Phthiraptera	Menoponidae	Dennyus	Dennyus adamsae
Thysanoptera	Heterothripidae	Heterothrips	Heterothrips salicis
Thysanoptera	Melanthripidae	Dorythrips	Dorythrips wallacei
Thysanoptera	Aeolothripidae	Dactuliothrips	Dactuliothrips xerophilus
Thysanoptera	Merothripidae	Merothrips	Merothrips floridensis
Thysanoptera	Thripidae	Hercinothrips	Hercinothrips bicinctus
Thysanoptera	Thripidae	Neurisothrips	Neurisothrips sp. 2 KJ-2017
Thysanoptera	Thripidae	Neurisothrips	Neurisothrips sp. 3 KJ-2017
Thysanoptera	Thripidae	Nesothrips	Nesothrips lativentris
Thysanoptera	Thripidae	Monilothrips	Monilothrips kempi
Thysanoptera	Thripidae	Anisopilothrips	Anisopilothrips venustulus
Thysanoptera	Thripidae	Anaphothrips	Anaphothrips swezeyi
Thysanoptera	Thripidae	Helionothrips	Helionothrips spinosus
Thysanoptera	Thripidae	Dendrothrips	Dendrothrips diaspora
Thysanoptera	Thripidae	Dichromothrips	Dichromothrips smithi
Thysanoptera	Thripidae	Pseudanaphothrips	Pseudanaphothrips achaetus
Thysanoptera	Thripidae	Australothrips	Australothrips bicolor
Thysanoptera	Thripidae	Aptinothrips	Aptinothrips rufus
Thysanoptera	Thripidae	Sciothrips	Sciothrips cardamomi
Thysanoptera	Thripidae	Heliothrips	Heliothrips haemorrhoidalis
Thysanoptera	Thripidae	Scirtothrips	Scirtothrips dobroskyi
Thysanoptera	Thripidae	Scirtothrips	Scirtothrips dorsalis
Thysanoptera	Thripidae	Thrips	Thrips maculicollis
Thysanoptera	Thripidae	Thrips	Thrips hawaiiensis
Thysanoptera	Thripidae	Thrips	Thrips imaginis
Thysanoptera	Thripidae	Frankliniella	Frankliniella invasor
Thysanoptera	Thripidae	Frankliniella	Frankliniella insularis
Thysanoptera	Thripidae	Frankliniella	Frankliniella occidentalis
Thysanoptera	Phlaeothripidae	Lissothrips	Lissothrips tallagandai
Thysanoptera	Phlaeothripidae	Malesiathrips	Malesiathrips australis
Thysanoptera	Phlaeothripidae	Zemiathrips	Zemiathrips triseta
Thysanoptera	Phlaeothripidae	Tolmetothrips	Tolmetothrips smilacis
Thysanoptera	Phlaeothripidae	Thaumatothrips	Thaumatothrips froggatti
Thysanoptera	Phlaeothripidae	Psalidothrips	Psalidothrips taylori
Thysanoptera	Phlaeothripidae	Phallothrips	Phallothrips houstoni
Thysanoptera	Phlaeothripidae	Iotatubothrips	Iotatubothrips crozieri
Thysanoptera	Phlaeothripidae	Eurynothrips	Eurynothrips magnicollis
Thysanoptera	Phlaeothripidae	Euoplothrips	Euoplothrips bagnalli
Thysanoptera	Phlaeothripidae	Choleothrips	Choleothrips geijerae
Thysanoptera	Phlaeothripidae	Celidothrips	Celidothrips camelus
Thysanoptera	Phlaeothripidae	Allothrips	Allothrips stannardi
Thysanoptera	Phlaeothripidae	Triadothrips	Triadothrips briga
Thysanoptera	Phlaeothripidae	Sacothrips	Sacothrips corycidis
Thysanoptera	Phlaeothripidae	Liothrips	Liothrips crassipes
Thysanoptera	Phlaeothripidae	Leeuwenia	Leeuwenia tetrastigmae
Thysanoptera	Phlaeothripidae	Koptothrips	Koptothrips zelus
Thysanoptera	Phlaeothripidae	Dolichothrips	Dolichothrips reuteri
Thysanoptera	Phlaeothripidae	Carientothrips	Carientothrips semirufus
Thysanoptera	Phlaeothripidae	Baenothrips	Baenothrips caenosus
Thysanoptera	Phlaeothripidae	Cartomothrips	Cartomothrips neboissi
Thysanoptera	Phlaeothripidae	Teuchothrips	Teuchothrips sp. TespPH
Thysanoptera	Phlaeothripidae	Haplothrips	Haplothrips victoriensis
Thysanoptera	Phlaeothripidae	Strepterothrips	Strepterothrips tuberculatus
Thysanoptera	Phlaeothripidae	Idolothrips	Idolothrips spectrum
Thysanoptera	Phlaeothripidae	Lichanothrips	Lichanothrips magnificus
Thysanoptera	Phlaeothripidae	Gynaikothrips	Gynaikothrips ficorum
Thysanoptera	Phlaeothripidae	Kladothrips	Kladothrips rugosus
Strepsiptera	Stylopidae	Stylops	Stylops melittae
Hymenoptera	Cimbicidae	Abia	Abia berezowskii
Hymenoptera	Chrysididae	Philoctetes	Philoctetes bogdanovii
Hymenoptera	Sapygidae	Monosapyga	Monosapyga clavicornis
Hymenoptera	Diapriidae	Trichopria	Trichopria drosophilae
Hymenoptera	Siricidae	Tremex	Tremex magus
Hymenoptera	Torymidae	Podagrion	Podagrion pachymerum
Hymenoptera	Braconidae	Macrocentrus	Macrocentrus marginator
Hymenoptera	Agaonidae	Elisabethiella	Elisabethiella stueckenbergi
Hymenoptera	Chyphotidae	Chyphotes	Chyphotes sp. AD-2014
Hymenoptera	Ceraphronidae	Ceraphron	Ceraphron sp. AD-2014
Hymenoptera	Orussidae	Orussus	Orussus unicolor
Hymenoptera	Halictidae	Sphecodes	Sphecodes albilabris
Hymenoptera	Crabronidae	Spilomena	Spilomena beata
Hymenoptera	Crabronidae	Oxybelus	Oxybelus bipunctatus
Hymenoptera	Crabronidae	Gorytes	Gorytes laticinctus
Hymenoptera	Vespidae	Quartinia	Quartinia thebaica
Hymenoptera	Vespidae	Celonites	Celonites abbreviatus
Hymenoptera	Vespidae	Symmorphus	Symmorphus murarius
Hymenoptera	Cephidae	Cephus	Cephus spinipes
Hymenoptera	Pompilidae	Heterodontonyx	Heterodontonyx sp. AD-2014
Hymenoptera	Pompilidae	Pompilus	Pompilus cinereus
Hymenoptera	Ichneumonidae	Heteropelma	Heteropelma amictum
Hymenoptera	Sphecidae	Chlorion	Chlorion hirtum
Hymenoptera	Sphecidae	Ammophila	Ammophila sabulosa
Hymenoptera	Sphecidae	Chalybion	Chalybion californicum
Hymenoptera	Cynipidae	Synergus	Synergus umbraculus
Hymenoptera	Scoliidae	Colpa	Colpa sexmaculata
Hymenoptera	Evaniidae	Brachygaster	Brachygaster minutus
Hymenoptera	Eucharitidae	Eucharis	Eucharis adscendens
Hymenoptera	Aphelinidae	Aphelinus	Aphelinus abdominalis
Hymenoptera	Mymaridae	Cosmocomoidea	Cosmocomoidea morrilli
Hymenoptera	Megachilidae	Dioxys	Dioxys cincta
Hymenoptera	Megachilidae	Coelioxys	Coelioxys conoidea
Hymenoptera	Megachilidae	Chelostoma	Chelostoma florisomne
Hymenoptera	Megachilidae	Megachile	Megachile willughbiella
Hymenoptera	Megachilidae	Osmia	Osmia cornuta
Hymenoptera	Eulophidae	Diglyphus	Diglyphus isaea
Hymenoptera	Pelecinidae	Pelecinus	Pelecinus polyturator
Hymenoptera	Apidae	Nomada	Nomada lathburiana
Hymenoptera	Apidae	Bombus	Bombus rupestris
Dermaptera	Anisolabididae	Gonolabis	Gonolabis marginalis
Dermaptera	Forficulidae	Forficula	Forficula auricularia
Mantodea	Mantidae	Mantis	Mantis religiosa
Diptera	Sepsidae	Meroplius	Meroplius fasciculatus
Diptera	Oestridae	Cuterebra	Cuterebra austeni
Diptera	Trichoceridae	Trichocera	Trichocera saltator
Diptera	Stratiomyidae	Ptecticus	Ptecticus tenebrifer
Diptera	Lonchopteridae	Lonchoptera	Lonchoptera bifurcata
Diptera	Chironomidae	Polypedilum	Polypedilum vanderplanki
Diptera	Syrphidae	Eristalis	Eristalis pertinax
Diptera	Syrphidae	Ferdinandea	Ferdinandea cuprea
Diptera	Bibionidae	Bibio	Bibio marci
Diptera	Dolichopodidae	Heteropsilopus	Heteropsilopus ingenuus
Diptera	Calliphoridae	Calliphora	Calliphora vomitoria
Diptera	Drosophilidae	Drosophila	Drosophila melanogaster
Lepidoptera	Mimallonidae	Menevia	Menevia lantona
Lepidoptera	Erebidae	Amata	Amata phegea
Lepidoptera	Crambidae	Catoptria	Catoptria falsella
Lepidoptera	Crambidae	Leucinodes	Leucinodes orbonalis
Lepidoptera	Saturniidae	Samia	Samia wangi
Lepidoptera	Hepialidae	Triodia	Triodia sylvina
Lepidoptera	Hesperiidae	Urbanus	Urbanus proteus
Lepidoptera	Adelidae	Nemophora	Nemophora degeerella
Lepidoptera	Lasiocampidae	Dendrolimus	Dendrolimus pini
Lepidoptera	Nymphalidae	Vanessa	Vanessa cardui
Lepidoptera	Nymphalidae	Pararge	Pararge aegeria
Lepidoptera	Pieridae	Eurema	Eurema mandarina
Lepidoptera	Pieridae	Colias	Colias croceus
Lepidoptera	Papilionidae	Papilio	Papilio xuthus
Lepidoptera	Noctuidae	Spodoptera	Spodoptera litura
Lepidoptera	Noctuidae	Spodoptera	Spodoptera frugiperda
Lepidoptera	Bombycidae	Bombyx	Bombyx mori
Coleoptera	Tenebrionidae	Zophobas	Zophobas morio
Coleoptera	Rhipiceridae	Sandalus	Sandalus niger
Coleoptera	Lymexylidae	Melittomma	Melittomma sp. AD-2015
Coleoptera	Glaresidae	Glaresis	Glaresis sp. AD-2015
Coleoptera	Gyrinidae	Dineutus	Dineutus sp. AD-2015
Coleoptera	Erotylidae	Pharaxonotha	Pharaxonotha floridana
Coleoptera	Elateridae	Drilus	Drilus concolor
Coleoptera	Haliplidae	Haliplus	Haliplus fluviatilis
Coleoptera	Cryptophagidae	Atomaria	Atomaria fuscata
Coleoptera	Silvanidae	Uleiota	Uleiota planata
Coleoptera	Geotrupidae	Anoplotrupes	Anoplotrupes stercorosus
Coleoptera	Scarabaeidae	Trypoxylus	Trypoxylus dichotomus
Coleoptera	Scarabaeidae	Onthophagus	Onthophagus similis
Coleoptera	Coccinellidae	Stethorus	Stethorus sp. AD-2015
Coleoptera	Coccinellidae	Harmonia	Harmonia axyridis
Coleoptera	Noteridae	Noterus	Noterus clavicornis
Coleoptera	Dytiscidae	Cybister	Cybister lateralimarginalis
Coleoptera	Chrysomelidae	Oreina	Oreina cacaliae
Coleoptera	Curculionidae	Larinus	Larinus minutus
Coleoptera	Curculionidae	Hypothenemus	Hypothenemus hampei
Coleoptera	Curculionidae	Ips	Ips typographus
Coleoptera	Curculionidae	Diaprepes	Diaprepes abbreviatus
Coleoptera	Curculionidae	Sitophilus	Sitophilus zeamais
Hemiptera	Anthocoridae	Lasiochilus	Lasiochilus sp. LASspLAS
Hemiptera	Enicocephalidae	Alienates	Alienates sp. AlspENIC
Hemiptera	Aenictopecheidae	Tornocrusus	Tornocrusus sp. AENspAEN
Hemiptera	Omaniidae	Omania	Omania coleoptrata
Hemiptera	Megarididae	Megaris	Megaris sp. MEGspMEG
Hemiptera	Medocostidae	Medocostes	Medocostes sp. MespMED
Hemiptera	Geocoridae	Epipolops	Epipolops sp. EpspGEO
Hemiptera	Vianaididae	Anommatocoris	Anommatocoris minutissimus
Hemiptera	Urostylididae	Urostylis	Urostylis sp. UrspURO
Hemiptera	Oxycarenidae	Oxycarenus	Oxycarenus sp. OXYspOXY
Hemiptera	Plokiophilidae	Lipokophila	Lipokophila tengella
Hemiptera	Lestoniidae	Lestonia	Lestonia sp. LESspLES
Hemiptera	Tessaratomidae	Piezosternum	Piezosternum sp. PispTES
Hemiptera	Tessaratomidae	Eusthenes	Eusthenes femoralis
Hemiptera	Stenocephalidae	Dicranocephalus	Dicranocephalus sp. DispSTE
Hemiptera	Ninidae	Cymoninus	Cymoninus sp. CyspNIN
Hemiptera	Dipsocoridae	Cryptostemma	Cryptostemma sp. CrspDIPS
Hemiptera	Canopidae	Canopus	Canopus sp. CANspCAN
Hemiptera	Schizopteridae	Rectilamina	Rectilamina sp. KJ-2017
Hemiptera	Meenoplidae	Nisamia	Nisamia sp. KJ-2017
Hemiptera	Cerococcidae	Cerococcus	Cerococcus sp. KJ-2017
Hemiptera	Asterolecaniidae	Russellaspis	Russellaspis sp. KJ-2017
Hemiptera	Phacopteronidae	Pseudophacopteron	Pseudophacopteron sp. A KJ-2017
Hemiptera	Myerslopiidae	Mapuchea	Mapuchea sp. KJ-2017
Hemiptera	Kinnaridae	Quilessa	Quilessa sp. KJ-2017
Hemiptera	Achilixiidae	Bebaiotes	Bebaiotes sp. KJ-2017
Hemiptera	Velocipedidae	Scotomedes	Scotomedes sp. VELspVEL
Hemiptera	Velocipedidae	Costomedes	Costomedes karimui
Hemiptera	Cercopidae	Asprocranites	Asprocranites variegata
Hemiptera	Steingeliidae	Araucaricoccus	Araucaricoccus queenslandicus
Hemiptera	Psyllidae	Freysuila	Freysuila caesalpiniae
Hemiptera	Psyllidae	Russelliana	Russelliana solanicola
Hemiptera	Homotomidae	Mycopsylla	Mycopsylla gardenensis
Hemiptera	Lophopidae	Lophops	Lophops saccharicida
Hemiptera	Lecanodiaspididae	Lecanodiaspis	Lecanodiaspis rufescens
Hemiptera	Liviidae	Euphyllura	Euphyllura phillyreae
Hemiptera	Lyctocoridae	Lyctocoris	Lyctocoris campestris
Hemiptera	Phoenicococcidae	Phoenicococcus	Phoenicococcus marlatti
Hemiptera	Cymidae	Cymus	Cymus coriacipennis
Hemiptera	Microphysidae	Loricula	Loricula sp. MICspMIC
Hemiptera	Microphysidae	Loricula	Loricula pselaphiformis
Hemiptera	Flatidae	Ormenoides	Ormenoides venusta
Hemiptera	Membracidae	Scytodepsa	Scytodepsa sp. KJ-2017
Hemiptera	Membracidae	Centrotus	Centrotus cornutus
Hemiptera	Membracidae	Atymna	Atymna helena
Hemiptera	Coelostomidiidae	Coelostomidia	Coelostomidia montana
Hemiptera	Aphididae	Neophyllaphis	Neophyllaphis varicolor
Hemiptera	Aphididae	Iziphya	Iziphya flabella
Hemiptera	Diaspididae	Fissuraspis	Fissuraspis ulmi
Hemiptera	Diaspididae	Furcaspis	Furcaspis capensis
Hemiptera	Diaspididae	Comstockiella	Comstockiella sabalis
Hemiptera	Artheneidae	Chilacis	Chilacis typhae
Hemiptera	Belostomatidae	Diplonychus	Diplonychus rusticus
Hemiptera	Thaumastocoridae	Thaumastocoris	Thaumastocoris peregrinus
Hemiptera	Thaumastocoridae	Discocoris	Discocoris drakei
Hemiptera	Acanthosomatidae	Acanthosoma	Acanthosoma haemorrhoidale
Hemiptera	Parastrachiidae	Dismegistus	Dismegistus sanguineus
Hemiptera	Thaumastellidae	Thaumastella	Thaumastella namaquensis
Hemiptera	Carsidaridae	Protyora	Protyora sterculiae
Hemiptera	Margarodidae	Xylococculus	Xylococculus macrocarpae
Hemiptera	Margarodidae	Marchalina	Marchalina hellenica
Hemiptera	Halimococcidae	Thysanococcus	Thysanococcus pandani
Hemiptera	Conchaspididae	Fagisuga	Fagisuga triloba
Hemiptera	Stictococcidae	Stictococcus	Stictococcus vayssierei
Hemiptera	Stictococcidae	Stictococcus	Stictococcus sjostedti
Hemiptera	Beesoniidae	Gallacoccus	Gallacoccus heckrothi
Hemiptera	Tettigarctidae	Tettigarcta	Tettigarcta crinita
Hemiptera	Aphrophoridae	Aphrophora	Aphrophora alni
Hemiptera	Triozidae	Triozoida	Triozoida limbata
Hemiptera	Triozidae	Pariaconus	Pariaconus gracilis
Hemiptera	Triozidae	Acanthocasuarina	Acanthocasuarina muellerianae
Hemiptera	Triozidae	Bactericera	Bactericera cockerelli
Hemiptera	Pentatomidae	Dinidor	Dinidor sp. DINspDIN
Hemiptera	Pentatomidae	Halyomorpha	Halyomorpha halys
Hemiptera	Pleidae	Plea	Plea minutissima
Hemiptera	Ochteridae	Ochterus	Ochterus marginatus
Hemiptera	Termitaphididae	Termitaradus	Termitaradus australiensis
Hemiptera	Miridae	Peritropis	Peritropis setosicornis
Hemiptera	Miridae	Pachymerocorista	Pachymerocorista pilosus
Hemiptera	Miridae	Myiomma	Myiomma sp. MIRIsoMIR
Hemiptera	Miridae	Monalocoris	Monalocoris sp. MospMIR
Hemiptera	Miridae	Helopeltis	Helopeltis sp. HespMIR
Hemiptera	Miridae	Fulvius	Fulvius sp. FuspMIR
Hemiptera	Miridae	Deraeocoris	Deraeocoris sp. DespMIR
Hemiptera	Miridae	Coridromius	Coridromius sp. CospMIR
Hemiptera	Miridae	Nesidiocoris	Nesidiocoris tenuis
Hemiptera	Miridae	Larinocerus	Larinocerus balius
Hemiptera	Hyocephalidae	Maevius	Maevius indecorus
Hemiptera	Idiostolidae	Trisecus	Trisecus pictus
Hemiptera	Joppeicidae	Joppeicus	Joppeicus paradoxus
Hemiptera	Leptopodidae	Valleriola	Valleriola javanica
Hemiptera	Pseudococcidae	Eumyrmococcus	Eumyrmococcus scorpioides
Hemiptera	Pseudococcidae	Planococcus	Planococcus citri
Hemiptera	Cicadellidae	Sudra	Sudra notanda
Hemiptera	Cicadellidae	Myerslopella	Myerslopella taylori
Hemiptera	Cicadellidae	Coloborrhis	Coloborrhis corticina
Hemiptera	Cicadellidae	Signoretia	Signoretia dulitensis
Hemiptera	Cicadellidae	Calliscarta	Calliscarta boliviana
Hemiptera	Cicadellidae	Graphocephala	Graphocephala fennahi
Hemiptera	Cicadellidae	Empoasca	Empoasca fabae
Hemiptera	Cicadellidae	Lystridea	Lystridea uhleri
Hemiptera	Phloeomyzidae	Phloeomyzus	Phloeomyzus passerinii
Hemiptera	Cicadidae	Okanagana	Okanagana villosa
Hemiptera	Cicadidae	Kikihia	Kikihia scutellaris
Hemiptera	Aphalaridae	Glycaspis	Glycaspis brimblecombei
Hemiptera	Delphacidae	Nilaparvata	Nilaparvata lugens
Hemiptera	Peloridiidae	Rhacophysa	Rhacophysa taylori
Hemiptera	Peloridiidae	Oiophysella	Oiophysella degenerata
Hemiptera	Peloridiidae	Craspedophysa	Craspedophysa monteithi
Hemiptera	Peloridiidae	Xenophyes	Xenophyes metoponcus
Hemiptera	Peloridiidae	Hemiodoecus	Hemiodoecus acutus
Hemiptera	Peloridiidae	Xenophysella	Xenophysella greensladeae
Hemiptera	Peloridiidae	Peloridium	Peloridium hammoniorum
Hemiptera	Peloridiidae	Hemiowoodwardia	Hemiowoodwardia wilsoni
Hemiptera	Gerromorpha	Hebridae	Hebrus
Hemiptera	Gerromorpha	Macroveliidae	Macrovelia
Hemiptera	Aleyrodidae	Aleurotrachelus	Aleurotrachelus sp. Alela
Hemiptera	Aleyrodidae	Chitonaleyrodes	Chitonaleyrodes canberrensis
Hemiptera	Aleyrodidae	Aleuroctarthrus	Aleuroctarthrus destructor
Hemiptera	Aleyrodidae	Aleuroclava	Aleuroclava jasmini
Hemiptera	Aleyrodidae	Paraleyrodes	Paraleyrodes minei
Hemiptera	Aleyrodidae	Aleurocanthus	Aleurocanthus neofroggatti
Hemiptera	Aleyrodidae	Aleurocanthus	Aleurocanthus spiniferus
Hemiptera	Aleyrodidae	Dialeurodes	Dialeurodes kirkaldyi
Hemiptera	Aleyrodidae	Dialeurodes	Dialeurodes citri
Hemiptera	Aleyrodidae	Aleyrodes	Aleyrodes proletella
Hemiptera	Aleyrodidae	Trialeurodes	Trialeurodes vaporariorum
Hemiptera	Aleyrodidae	Bemisia	Bemisia afer
Hemiptera	Aleyrodidae	Bemisia	Bemisia tabaci
Blattodea	Pseudophyllodromiidae	Balta	Balta vilis
Blattodea	Rhinotermitidae	Coptotermes	Coptotermes sp. AD-2015
Blattodea	Tryonicidae	Tryonicus	Tryonicus parvus
Blattodea	Blattellidae	Ischnoptera	Ischnoptera deropeltiformis
Blattodea	Blattellidae	Paratemnopteryx	Paratemnopteryx couloniana
Blattodea	Cryptocercidae	Cryptocercus	Cryptocercus wrighti
Blattodea	Ectobiidae	Ectobius	Ectobius sylvestris
Blattodea	Ectobiidae	Supella	Supella longipalpa
Blattodea	Corydiidae	Polyphaga	Polyphaga aegyptiaca
Blattodea	Blattidae	Deropeltis	Deropeltis erythrocephala
Blattodea	Blattidae	Periplaneta	Periplaneta americana
